industry,joblocation_address,"	numberofpositions",skills
BPO / Call Centre / ITES,Bengaluru/Banglore,1,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,Sales
BPO / Call Centre / ITES,Bengaluru/Banglore,4,ITES
Telecom/ISP,Bengaluru/Banglore,1,IT Hardware
BPO / Call Centre / ITES,Bengaluru/Banglore,1,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - ERP
IT-Hardware & Networking,Bengaluru/Banglore,1,Sales
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
BPO / Call Centre / ITES,Bengaluru/Banglore,1,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,HR
Recruitment / Staffing,Bengaluru/Banglore,1,HR
Other,Bengaluru/Banglore,1,Sales
BPO / Call Centre / ITES,Bengaluru/Banglore,25,ITES
Industrial Products / Heavy Machinery,Bengaluru/Banglore,2,Sales
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Recruitment / Staffing,Bengaluru/Banglore,1,HR
Aviation / Aerospace Firms,Bengaluru/Banglore,1,Production
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Chemicals / PetroChemical / Plastic / Rubber,Bengaluru/Banglore,2,Engineering Design
IT-Software / Software Services,Bengaluru/Banglore,3,IT Software - QA & Testing
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Construction / Engineering / Cement / Metals,Bengaluru/Banglore,20,Site Engineering
Recruitment / Staffing,Bengaluru/Banglore,1,HR
Courier / Transportation / Freight / Warehousing,Bengaluru/Banglore,1,Supply Chain
BPO / Call Centre / ITES,Bengaluru/Banglore,30,Accounts
BPO / Call Centre / ITES,Bengaluru/Banglore,100,ITES
Recruitment / Staffing,Bengaluru/Banglore,1,IT Software - Application Programming
Other,Bengaluru/Banglore,10,Site Engineering
IT-Software / Software Services,Bengaluru/Banglore,20,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Recruitment / Staffing,Bengaluru/Banglore,1,HR
Advertising / PR / MR / Event Management,Bengaluru/Banglore,4,Marketing
IT-Software / Software Services,Bengaluru/Banglore,1,Analytics & Business Intelligence
Banking / Financial Services / Broking,Bengaluru/Banglore,22,IT Software - Application Programming
Internet / Ecommerce,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,HR
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Network Administration
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Recruitment / Staffing,Bengaluru/Banglore,1,IT Software - QA & Testing
Recruitment / Staffing,Bengaluru/Banglore,1,ITES
